"","Clearance","Folding","PN-metabolism","PN-signaling","Protein synthesis","Trafficking","ER","HSP100","HSP40","HSP60","HSP70","HSP90","MITO","PFD","sHSP","TPR"
"PancreaticadenocarcinomaPrimarysolidTumor",0,0,0,0,0,0,11.9848455890146,2.7351624675504,3.29712188528414,0.360579037586379,1.11223183193099,1.30051123823384,5.45219055415707,1.43063905340232,3.36666236887291,3.75613509500971
"PheochromocytomaandParagangliomaSolidTissueNormal",0,0,0,0,0,0,4.38377859746891,-1.90300013309743,-1.38534977184168,2.28220427454768,2.57792357288711,0.139787045435942,9.40091172351271,1.46027338984534,3.45450346136421,2.59292580303594
"PheochromocytomaandParagangliomaPrimarysolidTumor",0,0,0,0,0,0,0.946072247969556,2.0814531302306,0.7275373055976,0.658179381143611,2.26947569075511,0.773313049475306,5.84597873863567,2.55747020542421,5.22555282652751,3.46682585177819
"ProstateadenocarcinomaSolidTissueNormal",0,0,0,0,0,0,4.81856298918006,1.50872592284455,0.803255878657823,0.367982368381597,3.38297143816865,0.06284337740704,0.266751793848275,0.73154097821396,8.4316585995013,4.60717015703874
"ProstateadenocarcinomaPrimarysolidTumor",0,0,0,0,0,0,3.23186638716043,1.67372627849794,1.21997788827263,1.28215951416359,0.993557004597801,1.17291550280055,0.609378987567928,1.58916604428632,6.49826653108626,4.36696735939615
"SarcomaSolidTissueNormal",0,0,0,0,0,0,8.82714747388562,0.331024570451201,0.83440268111202,-0.153278641206965,1.28548452514443,-1.13418968921725,0.289407125490698,0.0967007461421763,9.60794016076629,-0.166932490035128
"SarcomaPrimarysolidTumor",0,0,0,0,0,0,-1.72057584524483,0.679352127528837,0.114430644532529,1.09665256789298,1.88159899959175,1.46193491489953,4.12827838662051,2.35209947350689,10.4140655579042,2.3939349442677
"SkinCutaneousMelanomaSolidTissueNormal",0,0,0,0,0,0,-6.05884767079156,-0.865750492969107,-0.611041864286641,0.669604974064204,0.480505456360319,0.229388794134618,-2.06923312934267,1.34138822951928,-3.01049829365834,3.11244980349428
"SkinCutaneousMelanomaPrimarysolidTumor",0,0,0,0,0,0,1.33133665943046,0.750724525897926,0.49409032550373,1.86617917590406,1.92337500368531,2.00347541818609,5.46553521827429,2.35813279245035,3.66668988739339,3.0230642305886
"StomachadenocarcinomaSolidTissueNormal",0,0,0,0,0,0,18.2847207022275,-1.61336987072515,0.345943149678225,-2.05776680073151,1.15246272784915,-0.663720347918388,1.40428170583207,-0.433645203816563,10.400383791179,2.85709492082034
"StomachadenocarcinomaPrimarysolidTumor",0,0,0,0,0,0,12.747538539279,1.25518533880859,1.85453806378099,1.73727303014717,1.82984331210606,1.19828051450795,0.900754487022351,1.19066686873889,6.94818409840589,3.68022030172728
"ThyroidcarcinomaSolidTissueNormal",0,0,0,0,0,0,-0.247402177281765,3.17168973008544,0.521084014418755,-0.783846193749872,1.24080522359212,1.01058895571257,-0.76751179785892,1.27222362594319,3.62627891314387,4.93215873766479
"ThyroidcarcinomaPrimarysolidTumor",0,0,0,0,0,0,-0.893109657292429,3.41252517857499,0.209709634152281,-0.559615122153013,0.391280414663492,0.903733949436204,-0.256257514405531,1.52553971963449,2.10319258606722,3.90244447893601
"ThymomaSolidTissueNormal",0,0,0,0,0,0,5.57547389722935,0.312234683684784,-1.22454805079349,-0.284231591579384,-0.186294645452235,0.201643734482939,2.28222681815389,0.675388373028615,7.02179225448754,-2.12267240226784
"ThymomaPrimarysolidTumor",0,0,0,0,0,0,1.03416547633686,4.43214191575742,-0.155541963319496,1.30593986721376,1.06300227580729,1.52504021787003,2.96596885657211,3.15318582877013,0.0144081350036541,4.10883483564456
"UterineCorpusEndometrialCarcinomaSolidTissueNormal",0,0,0,0,0,0,7.16033266936549,2.02922958814971,3.57219032916678,-0.718761544047766,1.52201382122705,2.40447127439725,3.37269063604178,-0.784207468456186,9.08394721706217,1.48485203067219
"UterineCorpusEndometrialCarcinomaPrimarysolidTumor",0,0,0,0,0,0,5.55657525111463,4.25063179860489,4.09045897255899,1.67246486516606,2.27059359570358,3.82203357880992,3.87672333058963,2.09756090033638,3.12083216565628,0.368824935139092
