"","Clearance","Folding","PN-metabolism","PN-signaling","Protein synthesis","Trafficking","ER","HSP100","HSP40","HSP60","HSP70","HSP90","MITO","PFD","sHSP","TPR"
"AlzheimerDiseaseNormal",0,0,0,0,0,0,0.131278101352622,-0.00606147655889845,0.209580857079557,0.791967571905144,-0.067109134852511,0.0611692713365199,0.0329720112069717,0.760219234268582,-0.0389282224206001,-0.00564044231662244
"AlzheimerDiseaseNeuroDegenerated",0,0,0,0,0,0,-0.062785178907776,0.00289896704990761,-0.100234322951092,-0.378767099606808,0.0320956731903314,-0.0292548689000749,-0.0157692227511604,-0.363583112041496,0.0186178455055046,0.00269760284708033
"HuntingtonDiseaseNormal",0,0,0,0,0,0,-0.0256341770308027,-0.0242549775711143,0.0823622333260723,0.0970339567651399,-0.0103879210114091,0.160144153718921,0.0315252647469275,0.0849578885073632,-0.232769962803224,-0.0129931888708972
"HuntingtonDiseaseNeuroDegenerated",0,0,0,0,0,0,0.0215866753943603,0.0204252442704123,-0.069357670169324,-0.0817128056969596,0.00874772295697592,-0.134858234710671,-0.0265475913658344,-0.0715434850588328,0.196016810781663,0.0109416327333872
"ParkinsonDiseaseNormal",0,0,0,0,0,0,0.0681888054612413,-0.0333855515473859,0.0915842422792041,-0.203459239118106,-0.13571920548902,0.0129910974999342,0.0612705769304936,0.123125350240074,-0.19967544377037,0.0405603827541327
"ParkinsonDiseaseNeuroDegenerated",0,0,0,0,0,0,-0.0426180034132759,0.0208659697171166,-0.0572401514245029,0.127162024448816,0.0848245034306372,-0.00811943593745883,-0.0382941105815582,-0.0769533439000461,0.124797152356481,-0.0253502392213335
