"","Clearance","Folding","PN-metabolism","PN-signaling","Protein synthesis","Trafficking","ER","HSP100","HSP40","HSP60","HSP70","HSP90","MITO","PFD","sHSP","TPR"
"AlzheimerDiseaseNormal",0,0,0,0,0,0,2.02567085919722,0.924265485269705,0.820257976140207,3.25757261917293,1.47921070644571,1.20539210541284,0.681443922238785,2.31630178063698,0.320270781746474,0.629996877439414
"AlzheimerDiseaseNeuroDegenerated",0,0,0,0,0,0,0.830480340106097,0.276831080888858,0.417978662153436,1.55340740356925,1.87361237312399,0.613945374312256,0.373054459965118,0.973588399821365,0.595738403540672,0.470725656206856
"HuntingtonDiseaseNormal",0,0,0,0,0,0,0.642606887928464,0.226826923818711,0.213344441899465,0.789890328305773,0.493268875508044,0.395197343978543,0.289736029920998,0.524798791135637,0.316760653425203,0.0797893824639057
"HuntingtonDiseaseNeuroDegenerated",0,0,0,0,0,0,0.581897443962152,0.220880716341996,0.103632215988275,0.692116968165872,0.799141047643836,0.138947491705311,0.146034636554536,0.547563737352317,0.550862876492745,0.148874415994254
"ParkinsonDiseaseNormal",0,0,0,0,0,0,0.472873810294197,0.094995290684268,0.291141843471273,0.825689607609476,0.875453460214566,0.288577632250485,0.225033999054381,0.594601095583858,0.142483181065679,0.157282849152146
"ParkinsonDiseaseNeuroDegenerated",0,0,0,0,0,0,0.746142374049288,0.201589106962039,0.0968018690417974,1.2038889035757,1.15912122059083,0.265384603006559,0.266567635733549,0.45861822371303,0.773381646625369,0.103825759913894
